Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
1/7/2025,2520.550049,1174,7426.246582,2292.600098,1067.5,8810.299805,1682.75,7353.950195,285.4191895,277.3204346,1590.849976,4832.25,1497.449951,374.2763367,1351.550049,5177.299805,2467.25,1909.486084,1713.400024,619.8499756,4060.177246,584.5,2390.800049,1279.25,983.5999756,1930.849976,434.245697,911.7999878,1772.050049,3643.300049,3108.850098,11721.2998,2198.570557,326.0566406,258.3467102,301.5237122,1240.849976,1474.942749,778.75,1842.297119,955,793.25,133.3800049,4018.723145,1671.150024,3505.100098,6874.299805,11618.5498,288.3208008
1/8/2025,2515.25,1152.300049,7132.561523,2334.350098,1074.949951,8642.25,1697,7355.399902,280.5462036,281.2429199,1599.199951,4859.899902,1494.900024,374.8183594,1370.75,5163.200195,2435.75,1925.78125,1694.300049,618,4036.813721,586.6500244,2401,1263.75,981.0499878,1933.150024,442.5643921,902.2999878,1768.650024,3596.350098,3086.100098,11822,2205.774414,322.8814087,266.0336914,303.1052246,1265.5,1460.370483,771.1500244,1826.740845,961.5999756,794.9500122,132.6399994,4098.632813,1663.75,3484.050049,6699.100098,11403.5498,291.7526245
1/9/2025,2477.899902,1132.349976,7081.533691,2350.199951,1061.75,8835.849609,1690.300049,7277.450195,279.7008667,274.574707,1607.050049,4926.299805,1488.199951,366.7868958,1371.599976,5139.899902,2410.399902,1928.322754,1667.800049,612.2000122,4039.886475,589.25,2435.399902,1262.400024,980.9000244,1917.300049,443.1058655,890.9500122,1790.199951,3527.899902,3126.5,11740.5498,2241.694336,317.8705139,258.0427551,301.721405,1254.75,1465.6604,760.4500122,1815.409058,970.0999756,780.0999756,129.9299927,4029.248291,1642.800049,3487.050049,6621.700195,11259.7998,286.6049194
1/10/2025,2374.399902,1112.199951,7026.811523,2320.75,1040.699951,8764,1701.25,7288.049805,269.5073242,272.2702332,1615.900024,4939.200195,1468.800049,363.140686,1354.400024,5058.450195,2364.100098,1988.420898,1656.75,608.6500244,4021.302979,574.4500122,2442.050049,1249.849976,937.5999756,1966.949951,437.9866333,900.0999756,1756.199951,3536.149902,3092.850098,11631.09961,2233.596191,305.8641663,257.8858948,296.2355652,1241.900024,1475.491821,743.25,1774.108032,972.7999878,774.6500244,127.4300003,4255.508789,1705.599976,3440.25,6584.100098,10865.2002,294.6941528
1/13/2025,2225.149902,1066.650024,6829.939941,2252.649902,1049.300049,8596.25,1674.150024,7150.950195,258.1701355,260.1595154,1597.199951,4927.049805,1439.199951,357.6221313,1335.099976,4939.100098,2288.149902,1982.73999,1630.849976,599.75,3944.675293,563.75,2451,1229.75,941.7000122,1962.199951,432.2275391,883.75,1738.400024,3464.300049,2999.649902,11497.7002,2223.113525,295.8919678,250.7381897,284.2754517,1239.849976,1464.612427,729.5,1736.435059,965.4500122,751,122.9300003,4280.898438,1659.650024,3382.75,6224.399902,10615.15039,286.1636963
1/14/2025,2380.550049,1117.099976,6697.377441,2239.949951,1051.650024,8611.200195,1713.5,7335,268.4133911,264.9645996,1600.099976,4862.399902,1447.75,363.8797913,1337.550049,5029.549805,2310.600098,1807.47876,1646.599976,600.4500122,4002.231201,590.9000244,2367.949951,1240.300049,962.0999756,1940.050049,429.8156433,906.0499878,1750.599976,3462.600098,3049.5,11741.15039,2204.929932,307.9974976,255.2876282,286.8948059,1238.75,1496.401978,748.1500244,1760.241577,963.1500244,770.5,126.9300003,4222.986328,1647.5,3322.5,6161.149902,10483.75,287.1441956
1/15/2025,2388.149902,1128.900024,6682.398438,2229.699951,1026.800049,8578,1671.650024,7177.399902,266.3746948,261.8265686,1607.449951,4877,1447.199951,369.1519775,1337.199951,5081.899902,2317.550049,1819.588013,1643.050049,594.2000122,4011.254883,591.5499878,2373,1238.25,962.4500122,1949.650024,430.5539856,904.0499878,1789.599976,3501.399902,2960.25,11947.40039,2185.653076,318.8627625,253.1403656,295.1976929,1252.199951,1469.952271,753.7000122,1746.325439,955.5499878,763.5999756,126.5299988,4239.49707,1675.949951,3323.5,6390.25,10521.65039,286.9480896
1/16/2025,2427.850098,1150.75,6780.060059,2215.600098,1038,8581.950195,1697.349976,7259.75,274.6289673,261.7285156,1630.199951,4844.549805,1443.5,373.3401794,1302.75,5047.799805,2350.699951,1786.25,1652.050049,641.4000244,3974.380371,602.5999756,2345,1249.099976,975.3499756,1928.449951,426.1239014,906.7999878,1805.550049,3507.899902,2980.600098,12092.2998,2155.496338,322.9806519,258.0427551,294.209259,1266.449951,1510.724609,766.2999878,1752.736938,937.7000122,774.3499756,127.8099976,4196.299805,1687.650024,3316.899902,6211.549805,10636.2002,282.4377136
1/17/2025,2399.800049,1163.5,6818.456055,2261,991.0499878,8581.400391,1680.650024,7182.100098,280.5959167,268.2987061,1627.5,4854.399902,1442.300049,382.0121765,1309.400024,5012.299805,2375.850098,1788.900024,1636.75,642.2000122,3997.695068,617,2354,1225.449951,970.9500122,1815.449951,433.3597107,908.5999756,1758.599976,3568.649902,2917.350098,12136.34961,2203.091553,323.6256104,261.3666077,299.1020508,1302.349976,1537.573608,764.0999756,1775.847656,954.4500122,779.75,130.2799988,4124.299805,1660.300049,3357.399902,6216.549805,10580,276.4565735
1/20/2025,2442.800049,1148.699951,6771.272949,2280.550049,988.0499878,8544.400391,1735.199951,7440.100098,284.2257996,271.927002,1641.150024,4885.399902,1445.449951,381.4208984,1302.349976,5016.75,2402,1796.199951,1651.25,634.0499878,3991.939697,618.1500244,2345.199951,1232.949951,970.7000122,1813.300049,430.8985291,919.2000122,1920.5,3593,2888.100098,12020.0498,2199.911865,333.4489746,264.1021423,302.7098389,1305.449951,1496.851074,779.25,1767.59729,960.2999878,774.3499756,131.6600037,4077.800049,1674.599976,3382.25,6090,10624.4502,294.4000244
